com_name,com_addr,com_area,com_class,com_trade,com_size,job_name,job_exp,job_edu,job_class,job_keyword,job_pay,job_info,postdate
成都中科大旗软件有限公司,高新区软件园C5-6F,成都-高新区,民营公司,"计算机软件,互联网/电子商务",150-500人,数据挖掘算法工程师,5-7年经验,大专,数据库工程师/管理员,数据,1.2-1.8万/月,岗位职责：|1、能够深刻理解业务需求，并完成问题定义和分解，制定可行的数据分析及数据挖掘方案；|2、参与公司算法类的项目实施；|3、负责方案设计和算法相关文档的编写；|4、负责算法的实现，根据制定要求完成设计、编码等。|任职资格:|1、计算机、数学等相关专业，三年以上数据算法工作经验，有大数据平台搭建经验优先；|2、熟悉常用的机器学习算法，如决策树，SVM，聚类等；|3、熟悉spark等大数据组件，并能将其应用于自然源处理、图像识别、文本挖掘；|4、熟悉R语言、MR等常用分析技术；|5、熟练掌握java，scala，python等其中一种编程语言，代码能力强；|6、熟悉Hive、HBase、Spark等开源平台，有实际工作经验者优先；|7、熟悉神经网络、深度学习，有相关工作经验者优先；|8、具备良好的逻辑思维与表达能力；|9、有良好、规范的编码习惯和文档编写习惯；|10、热爱大数据及相关开源技术，具备较强学习能力、探索精神及良好的团队合作精神。,04-10发布
成都积微物联集团股份有限公司,新希望国际C座1204,成都-高新区,国企,"交通/运输/物流,互联网/电子商务",500-1000人,机器学习算法工程师,3-4年经验,本科,算法工程师,,1.5-2.5万/月,岗位职责：|1、 负责分析挖掘客户/行业对大数据产品的需求（应用场景），利用人工智能相关技术提升公司客户业务能力。例如：文本挖掘，用户画像，个性化推荐，销量预测，风险预测等等；|2、 进行大数据场景下的数据统计、数据挖掘、机器学习、深度学习，包括数据整理、模型建立、模型应用、评估优化等；|                |3、 将客户需求准确转化为可执行的数学模型，针对不同的应用场景，负责编写数据挖掘算法及对其的优化；|任职要求：|1、大学本科及以上；|2、至少3年以上数据分析和挖掘经验，有互联网企业工作经验优先；,04-10发布
成都微核科技股份有限公司,四川省成都市高新区益州大道北段锦晖西一街99号布鲁明顿广场2栋1301,成都,上市公司,"计算机软件,互联网/电子商务",50-150人,算法工程师,3-4年经验,本科,硬件工程师,LINUX|C++,1-2万/月,,04-10发布
车旦生活四川总公司,武侯区高朋大道11号F座5楼,成都-武侯区,民营公司,"互联网/电子商务,汽车及零配件",150-500人,语音信号处理算法工程师,无工作经验,本科,语音/视频/图形开发工程师,算法工程师|算法|语音|研发|matlab,4-8千/月,1、负责音频系统前端信号处理的算法的设计和实现|岗位要求：|1、大学本科及以上学历，通信及信号处理相关专业毕业，1年以上工作经验；|2、精通C/C++、matlab语言，熟练使用VisualStudio、matlab开发环境；|3、熟悉自适应滤波及相关语音信号谱分析技术，掌握Echo Cancellation，Noise Suppression、语音增强、阵列信号处理、声源分离等，有抗混响、Beamforming、语音增强算法的实际经验，能够根据实际产品需求评估并调整算法实现或者参数等；|4、了解采用深度学习进行语音信号处理的方法；|5、具备扎实的数学基础，数学推导能力，数字信号处理理论和实际经验；|6、有较强的分析问题和独立解决问题的能力；|7、有语音识别和阵列信号处理实际项目经验者优先 .,04-10发布
清华四川能源互联网研究院,天府新区科学城,成都,事业单位,"电气/电力/水利,新能源",150-500人,算法工程师（车联网研究所）,无工作经验,硕士,算法工程师,,12-24万/年,,04-10发布
四川西南交大铁路发展股份有限公司,青羊区腾飞大道189号青羊工业总部基地F区17栋,成都,国企,"交通/运输/物流,电子技术/半导体/集成电路",150-500人,高级算法工程师,,,算法工程师,,1.2-1.8万/月,岗位职责：|1、对具体需求进行综合并数学抽象；|2、依照具体需求的实际情况进行数学建模和算法架构设计；|3、选择算法架构的具体实现的技术路线或方案；|4、完成算法闭环测试的方案设计；|5、参与算法的代码实现；|6、参与完成算法相关的技术文档的撰写。|任职要求：|1、熟悉经典信号处理技术，如时频分析、固体材料中声发射信号分析、信号检测与估计、各种变换域表征及特征工程等；|2、精通Matlab或同类工具，进行算法设计和仿真验证；|3、熟悉深度学习，有在TensorFlow/Torch/Caffe等平台上项目经验者优先。,
四川物联亿达科技有限公司,天晖路360号时代晶科1号2楼,成都-高新区,民营公司,计算机软件,150-500人,C++算法工程师,3-4年经验,本科,算法工程师,高级软件工程师|C++|算法|图像处理|视觉处理,1-1.5万/月,,04-10发布
成都盟升电子技术股份有限公司,高新西区西芯大道5号汇都总部园5栋1号楼,成都,民营公司,电子技术/半导体/集成电路,150-500人,通信算法工程师,无工作经验,本科,通信技术工程师,算法工程师|通信|调制解调,1-2万/月,公司拥有独立的办公大楼、产业园区，目前正处于快速发展阶段和IPO上市阶段，|欢迎优秀有志者的加入，公司将为您提供广阔的发展平台和公平的晋升通道。|任职要求：|1、本科以上学历，熟悉通信系统、信号处理原理。|2、熟悉Xilinx或Altera系列的FPGA开发流程，掌握硬件语言编写代码。|3、熟悉通信系统中调制解调、编解码等关键技术及相关通信协议，掌握数学仿真工具对通信系统进行仿真。|4、具有良好的团队精神和沟通能力，有较强的进取心，有一定抗压能力。|5、有相关工程经验尤其是卫星通信工程经验者优先。|工作综述：|卫星通信系统的体制设计与实现，含调制解调算法、编解码、通信协议等关键技术设计。,04-10发布
成都大公博创信息技术有限公司,高新西区百草路666号,成都,民营公司,"通信/电信/网络设备,计算机软件",50-150人,算法工程师,2年经验,本科,算法工程师,,0.5-1万/月,1.        开展算法研究并工程化、实用化|2.        开展国内外相关技术发展动态调研活动|3.        已有算法的维护及改进|4.        相关专利的撰写|1、学历要求：大学本科及以上                  |2、专业要求：电子通信、数学或计算机相关 .           |3、经验要求：2年以上相关行业经验                   |4、职称要求：无|5、理论知识要求：有数字信号处理基础，了解通信原理、信号调制解调等知识|6、技能、能力要求：熟练使用matlab仿真，有一定编程基础，能够阅读专业英文资料|                                                        |7、素质要求：爱岗敬业，踏实好学，勇于创新，团队协作，沟通能力强.,04-10发布
成都优易数据有限公司,菁蓉镇静园东路28号优易数据大厦,成都-郫都区,国企,互联网/电子商务,150-500人,中高级算法工程师,3-4年经验,本科,算法工程师,,1.5-2万/月,"1、数据挖掘模型开发|      1）拥有敏锐的数据特征敏感性，能够针对不同领域、专业的海量数据选择合适的特征提|   取方法进行特征降维；|      2）设计针对不同业务领域的大数据价值挖掘模型开发方案，并对模型进行效果评估和持|   续优化；|     3）维护已有的大数据挖掘模型及训练架构并对模型预测准确度及训练架构效率作出持续|   改进优化|2、大数据机器学习平台产品开|     1）优化平台产品的机器学习框架对其它开发语言环境的集成能力；|     2）持续优化机器学习平台的数据建模能力，发现并修复平台能力短板；|    3）负责机器学习平台大数据挖掘案例集设计并植入|3、大数据开发项目技术支撑|    1）参与大数据项目机器学习部分的前期客户需求沟通和可行性分析及项目开发阶段的客|   户需求变更澄清；|    2）参与数据建模方案转换为项目可实施阶段的技术支撑|任职资格：|1、本科及以上学历；|2、计算机、数学、统计学或软件工程等相关专业；|3、3年及以上大数据技术相关开发工作经历，.具有较丰富数据挖掘经验，运用常用机器；学习算子从事过如ETL、特征选取、异常值过滤、数据分类或回归建模分析等工作；具备端到端的大数据挖掘项目交付经验并在其中承担过数据建模任务优先；具备深度|学习框架使用经验者优化；|4、较扎实的数学基础，熟悉但不限于以下机器学习算法的数学原理，如神经网络、分类、| 聚类、回归、文本挖掘、图像识别、自然语言处理NLP等领域算法并能针对每类经典的机器学习算法|5、1）理解大数据生态中常用分布式计算框架和技术原理，如HDFS、MapReduce、Yarn、|    Spark、Hbase、Hive等；|     2）掌握Linux环境下Shell编程，能使用Python/Java/R等语言中的一种进行编程；熟悉常用的机器学习框架包。|1、五险一金|2、周末双休|3、员工宿舍|4、公司活动|5、节假日福利|6、丰厚的年终奖|7、弹性工作制|五险一金全都有，还有公司员工宿舍为你分忧！|假期：周末和法定节假日休息。更有年休假、婚丧假、产假等带薪假期！|活动：文体活动,部门聚餐、集体出游，丰富多彩的员工活动，工作之余嗨不停！|福利：结婚福利、生日福利、生育福利、节日福利。红包多多，礼品多多！年轻、激情、充满活力的工作团队！轻松、和谐、富有挑战性的工作氛围！",04-10发布
